Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1961","1961","t","161210","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1962","1962","t","173242","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1963","1963","t","173166","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1964","1964","t","209015","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1965","1965","t","212890","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1966","1966","t","203103","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1967","1967","t","221062","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1968","1968","t","189415","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1969","1969","t","209226","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1970","1970","t","219495","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1971","1971","t","220966","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1972","1972","t","216985","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1973","1973","t","225021","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1974","1974","t","233524","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1975","1975","t","219640","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1976","1976","t","202032","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1977","1977","t","216289","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1978","1978","t","237968","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1979","1979","t","242579","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1980","1980","t","255007","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1981","1981","t","271555","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1982","1982","t","389875","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1983","1983","t","428402","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1984","1984","t","345452","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1985","1985","t","361861","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1986","1986","t","444932","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1987","1987","t","467865","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1988","1988","t","487538","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1989","1989","t","498979","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1990","1990","t","636047","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1991","1991","t","653958.13","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1992","1992","t","553839.19","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1993","1993","t","577783.99","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1994","1994","t","572730.37","E","Estimated value",""
