Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","001","World","5510","Production","01322","Lemons and limes","1961","1961","t","2619738","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5510","Production","01322","Lemons and limes","1971","1971","t","3908247","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5510","Production","01322","Lemons and limes","1981","1981","t","5913830","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5510","Production","01322","Lemons and limes","1991","1991","t","7640287.19","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5510","Production","01322","Lemons and limes","2001","2001","t","11529698.47","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5510","Production","01322","Lemons and limes","2011","2011","t","15061568.98","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5510","Production","01322","Lemons and limes","2021","2021","t","21450912.46","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5510","Production","01323","Oranges","1961","1961","t","15971472","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5510","Production","01323","Oranges","1971","1971","t","26374225","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5510","Production","01323","Oranges","1981","1981","t","39680301","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5510","Production","01323","Oranges","1991","1991","t","50857144.7","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5510","Production","01323","Oranges","2001","2001","t","58850341.61","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5510","Production","01323","Oranges","2011","2011","t","67952557.78","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5510","Production","01323","Oranges","2021","2021","t","67761055.16","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5510","Production","01324","Tangerines, mandarins, clementines","1961","1961","t","2840347","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5510","Production","01324","Tangerines, mandarins, clementines","1971","1971","t","6098186","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01324","Tangerines, mandarins, clementines","1981","1981","t","8644669","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01324","Tangerines, mandarins, clementines","1991","1991","t","14975216.14","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5510","Production","01324","Tangerines, mandarins, clementines","2001","2001","t","22439953.76","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5510","Production","01324","Tangerines, mandarins, clementines","2011","2011","t","32188922.55","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","01324","Tangerines, mandarins, clementines","2021","2021","t","50505742.95","A","Official figure",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1961","1961","t","161210","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1971","1971","t","220966","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1981","1981","t","271555","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","1991","1991","t","653958.13","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","2001","2001","t","687154.14","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","2011","2011","t","1121869.15","E","Estimated value",""
"QCL","Crops and livestock products","002","Africa","5510","Production","01322","Lemons and limes","2021","2021","t","1892453.2","E","Estimated value",""
