Investor Name,Location,Total Investments,Lead Investments,company_name_hyphens,URL,Total investments,Average round size,Portfolio companies,Rounds per year,Lead investments,Areas of investment,Follow on index,Exits,Stages of investment,Type,Status
Xidi Huixin Asset Management,"Fujian, Xiamen, China",2,1,xidi-huixin-asset-management,https://unicorn-nest.com/funds/xidi-huixin-asset-management,2,0,2,0.40,1,Financial ServicesInformation TechnologyInformation ServicesRoboticsMedia and EntertainmentTicketingConcerts,,,,,
Xidian Investment Consulting,"Guangdong, Zhuhai, China",1,0,xidian-investment-consulting,https://unicorn-nest.com/funds/xidian-investment-consulting,1,0,1,0.07,,Home DecorHome ImprovementLighting,,,,,
Xidihui Zichan,"Fujian, Xiamen, China",5,1,xidihui-zichan,https://unicorn-nest.com/funds/xidihui-zichan,5,0,4,0.71,1,Financial ServicesRetailGamingAppsMarketingSportsMedia and EntertainmentTicketingConcertsSporting Goods,0.20,2,,,
Xiding Capital,"Shanghai, Shanghai, China",1,0,xiding-capital,https://unicorn-nest.com/funds/xiding-capital,1,0,1,0.17,,PublishingInformation ServicesBusiness Information Systems,,,,,
Xie Yao Capital,,1,0,xie-yao-capital,https://unicorn-nest.com/funds/xie-yao-capital,1,0,1,,,Health CareHealth DiagnosticsMedical DeviceProduct Research,,,,,
Xieer Food Innovation Incubator,,1,1,xieer-food-innovation-incubator,https://unicorn-nest.com/funds/xieer-food-innovation-incubator,1,0,1,,1,RetailConsumer Electronics,,,,,
Xieli Wealth Management,"Gansu, Lanzhou, China",3,0,xieli-wealth-management,https://unicorn-nest.com/funds/xieli-wealth-management,3,0,3,0.25,,BiotechnologyAsset ManagementFinancial ServicesSalesFinanceHealth CareManufacturingMedical Device,,2,,,
Xietingge Touzi,"Sichuan, Chengdu, China",1,0,xietingge-touzi,https://unicorn-nest.com/funds/xietingge-touzi,1,0,1,0.14,,Digital EntertainmentArtPerforming Arts,,1,,,
Xihuahao Touzi,"Shenzhen, Guangdong, China",1,0,xihuahao-touzi,https://unicorn-nest.com/funds/xihuahao-touzi,1,0,1,0.14,,Information TechnologyFashionWearables,,,,,
Xijiang Chuangtou,"Guangxi, Nanning, China",2,0,xijiang-chuangtou,https://unicorn-nest.com/funds/xijiang-chuangtou,2,0,2,0.22,,Asset ManagementSoftwareFinancial ServicesInformation TechnologyFinanceRisk ManagementTrading Platform,,2,,,
Xijie Touzi,"Shanghai, China",1,1,xijie-touzi,https://unicorn-nest.com/funds/xijie-touzi,1,0,1,0.14,1,AutomotiveSalesManufacturing,,,,,
Xilijie Bandaoti,,1,0,xilijie-bandaoti,https://unicorn-nest.com/funds/xilijie-bandaoti,1,0,1,0.08,,Information TechnologyNetwork SecurityElectronics,,1,,,
Xilinx,"United States, California, San Jose",36,6,xilinx,https://unicorn-nest.com/funds/xilinx,36,0,30,0.90,6,SoftwareInformation TechnologyArtificial IntelligenceEnterprise SoftwareManufacturingCloud ComputingProduct DesignComputerHardwareSemiconductor,0.17,15,,,
Ximad,"United States, California, San Francisco",1,0,ximad,https://unicorn-nest.com/funds/ximad,1,0,1,0.08,,MobileAppsAdvertisingAndroidAd NetworkMobile Advertising,,,,,
Ximalaya FM,"Shanghai, China",14,6,ximalaya-fm,https://unicorn-nest.com/funds/ximalaya-fm,14,0,13,1.17,6,InternetE-LearningArtificial IntelligenceMachine LearningEdTechEducationChildrenMedia and EntertainmentSmart HomeTranslation Service,0.07,,,,
Ximu Investment,,1,0,ximu-investment,https://unicorn-nest.com/funds/ximu-investment,1,0,1,,,,,,,,
Ximyx,"United States, California, Palo Alto",2,0,ximyx,https://unicorn-nest.com/funds/ximyx,2,0,2,0.33,,SoftwareMobileAppsTravelHospitalityMobile AdvertisingLocal Advertising,,,Seed,,
Xin Chang Electronics Technology,,1,0,xin-chang-electronics-technology,https://unicorn-nest.com/funds/xin-chang-electronics-technology,1,0,1,0.50,,ManufacturingHardwareElectronics,,1,,,
Xin Ding Capital,"Beijing, Beijing, China",34,4,xin-ding-capital,https://unicorn-nest.com/funds/xin-ding-capital,34,0,30,3.78,4,AutomotiveSoftwareInformation TechnologyArtificial IntelligenceHealth CareManufacturingPharmaceuticalHardwareSemiconductorElectronics,0.12,1,,,
Xin Dong Jinding Tiyu Jijin,"Beijing, Beijing, China",1,0,xin-dong-jinding-tiyu-jijin,https://unicorn-nest.com/funds/xin-dong-jinding-tiyu-jijin,1,0,1,0.20,,E-CommerceMobile AppsSportsSkiing,,,,,
Xin Dongneng Touzi,"Hangzhou, Zhejiang, China",1,0,xin-dongneng-touzi,https://unicorn-nest.com/funds/xin-dongneng-touzi,1,0,1,,,Digital EntertainmentFilm ProductionTV Production,,1,,,
Xin Hong Xiang,"Sichuan, Gansu, China",1,0,xin-hong-xiang,https://unicorn-nest.com/funds/xin-hong-xiang,1,0,1,0.11,,SoftwareInformation TechnologyAppsWeb Development,,,,,
Xin Xiangnong Shengtai Keji,"Hunan, Chenzhou, China",1,0,xin-xiangnong-shengtai-keji,https://unicorn-nest.com/funds/xin-xiangnong-shengtai-keji,1,0,1,0.07,,E-CommerceFood and BeverageShopping Mall,,,,,
Xin Yu Li Mei,,1,0,xin-yu-li-mei,https://unicorn-nest.com/funds/xin-yu-li-mei,1,0,1,0.17,,Food and BeverageHealth CareOrganic Food,,,,,
Xin Yuanjing Youcheng,,1,0,xin-yuanjing-youcheng,https://unicorn-nest.com/funds/xin-yuanjing-youcheng,1,0,1,0.09,,Food and BeverageManufacturingWine And SpiritsCustomer Service,,,,,
Xin Zhoubang Group,,1,0,xin-zhoubang-group,https://unicorn-nest.com/funds/xin-zhoubang-group,1,0,1,,,ManufacturingChemical,,,,,
XinRong Medical,"Jiangsu, Zhangjiagang, China",1,1,xinrong-medical,https://unicorn-nest.com/funds/xinrong-medical,1,0,1,0.04,1,Information TechnologyHealth CareMedical Device,,1,,,
XinYang Venture Capital,,1,0,xinyang-venture-capital,https://unicorn-nest.com/funds/xinyang-venture-capital,1,0,1,,,ManufacturingSemiconductorCommunications Infrastructure,,,,,
XinYue Equity,,1,0,xinyue-equity,https://unicorn-nest.com/funds/xinyue-equity,1,0,1,,,BiotechnologyHealth CareMedicalTherapeuticsClinical Trials,,1,,,
Xinan Chuangtou,,2,0,xinan-chuangtou,https://unicorn-nest.com/funds/xinan-chuangtou,2,0,2,0.18,,FinanceManufacturingCloud ComputingDronesConsultingAgriculture,,1,,,
Xinan Jinrong,"Anhui, Wuhu, China",1,0,xinan-jinrong,https://unicorn-nest.com/funds/xinan-jinrong,1,0,1,0.09,,SoftwareFinanceConsulting,,1,,,
Xinan United Property Right Exchange,"Sichuan, Chengdu, China",1,0,xinan-united-property-right-exchange,https://unicorn-nest.com/funds/xinan-united-property-right-exchange,1,0,1,0.08,,Financial ServicesFinanceProperty Development,,,,,
Xinbaijia Wenhua Chuanbo,"Shanghai, China",1,0,xinbaijia-wenhua-chuanbo,https://unicorn-nest.com/funds/xinbaijia-wenhua-chuanbo,1,0,1,0.06,,InternetMobileApps,,,,,
Xinbaiyi,"Fujian, Xiamen, China",3,1,xinbaiyi,https://unicorn-nest.com/funds/xinbaiyi,3,0,3,0.25,1,SoftwareInformation TechnologyGamingMobile AppsVirtual RealityAnimationVideo GamesEyewearProduct ResearchComics,,1,,,
Xinbei Guquan Touzi,"Beijing, Beijing, China",1,0,xinbei-guquan-touzi,https://unicorn-nest.com/funds/xinbei-guquan-touzi,1,0,1,0.12,,BeautyHealth CareWomen's,,,,,
Xinbi Maoyi,"Guangdong Province, Jiangmen, China",0,0,xinbi-maoyi,https://unicorn-nest.com/funds/xinbi-maoyi,0,0,0,,,WholesaleConsumer GoodsRetail,,,,,
Xinbi Ziben,,1,0,xinbi-ziben,https://unicorn-nest.com/funds/xinbi-ziben,1,0,1,,,CommunitiesContentBlockchain,,,,,
Xinbo Capital,"Hangzhou, Zhejiang, China",1,0,xinbo-capital,https://unicorn-nest.com/funds/xinbo-capital,1,0,1,0.14,,LogisticsFreight ServiceSoftware,,1,,,
Xincaizhi Capital,,1,1,xincaizhi-capital,https://unicorn-nest.com/funds/xincaizhi-capital,1,0,1,,1,Information TechnologyRenewable EnergyEnvironmental Consulting,,,,,
Xinchang Chenghe Investment,,1,1,xinchang-chenghe-investment,https://unicorn-nest.com/funds/xinchang-chenghe-investment,1,0,1,0.50,1,LogisticsBattery,,,,,
Xinchang Tiansheng Zhoucheng,"Hangzhou, Zhejiang, China",1,0,xinchang-tiansheng-zhoucheng,https://unicorn-nest.com/funds/xinchang-tiansheng-zhoucheng,1,0,1,0.04,,AutomotiveManufacturingService Industry,,1,,,
Xinchang Wenhua,"Hubei, Wuhan, China",1,0,xinchang-wenhua,https://unicorn-nest.com/funds/xinchang-wenhua,1,0,1,0.03,,BiotechnologyHealth CareLife ScienceAgTech,,,,,
Xinchang Yuanjin Jiankang Chanye Touzi Hehuo Qiye (Youxian Hehuo),"Zhejiang, Xinchang, China",1,0,xinchang-yuanjin-jiankang-chanye-touzi-hehuo-qiye-youxian-hehuo,https://unicorn-nest.com/funds/xinchang-yuanjin-jiankang-chanye-touzi-hehuo-qiye-youxian-hehuo,1,0,1,0.20,,Health CareManufacturingMedical,,,,,
Xinchanghong Power Technology,"Jiangsu, Jiangyin, China",3,0,xinchanghong-power-technology,https://unicorn-nest.com/funds/xinchanghong-power-technology,3,0,2,0.15,,AutomotiveManufacturingHardwareService Industry,0.33,2,,,
Xinchao Group,"Nanjing, Jiangsu, China",7,2,xinchao-group,https://unicorn-nest.com/funds/xinchao-group,7,0,6,,2,ManufacturingSemiconductorApplication Specific Integrated Circuit (ASIC)Internet of ThingsCommunications Infrastructure,0.14,,,,
Xinchao Media,"Beijing, Beijing, China",3,0,xinchao-media,https://unicorn-nest.com/funds/xinchao-media,3,0,3,0.20,,Information TechnologyManufacturingProduct DesignSemiconductorApplication Specific Integrated Circuit (ASIC)Wireless,,,,,
Xinchen Capital,,1,0,xinchen-capital,https://unicorn-nest.com/funds/xinchen-capital,1,0,1,,,Application Specific Integrated Circuit (ASIC)Electronic Design Automation (EDA),,,,,
Xincheng Huirui Investment,"Tianjin, Guangdong, China",1,0,xincheng-huirui-investment,https://unicorn-nest.com/funds/xincheng-huirui-investment,1,0,1,0.10,,SalesFood and BeverageFood Processing,,,,,
Xincheng Investment,"Beijing, Beijing, China",7,2,xincheng-investment,https://unicorn-nest.com/funds/xincheng-investment,7,0,7,,2,AutomotiveE-CommerceInternetB2BArtificial IntelligenceBig DataManufacturingSemiconductorInternet of ThingsIndustrial,,,,,
Xincheng Keji,"Beijing, Pinggu, China",1,0,xincheng-keji,https://unicorn-nest.com/funds/xincheng-keji,1,0,1,0.03,,BiotechnologyHealth CareMedical,,,,,
Xincheng Private Equity,,3,1,xincheng-private-equity,https://unicorn-nest.com/funds/xincheng-private-equity,3,0,3,0.33,1,BiotechnologyHealth CareMedicalLife SciencePharmaceuticalBiopharma,,,,,
Xinchuangke,,1,0,xinchuangke,https://unicorn-nest.com/funds/xinchuangke,1,0,1,,,AutomotiveInformation TechnologyManufacturingConsumer ElectronicsTelecommunications,,,,,
Xincomm,"Anhui, Hefei, China",1,0,xincomm,https://unicorn-nest.com/funds/xincomm,1,0,1,0.07,,ElectronicsIndustrial,,,,,
Xincong Yuanchen,,1,0,xincong-yuanchen,https://unicorn-nest.com/funds/xincong-yuanchen,1,0,1,,,,,,,,
Xinda Institute of Meteorological Science & Technology,"Nanjing, Jiangsu, China",1,0,xinda-institute-of-meteorological-science--technology,https://unicorn-nest.com/funds/xinda-institute-of-meteorological-science--technology,,0,,,,,,,,,
Xinda touzi,"Beijing, Beijing, China",1,0,xinda-touzi,https://unicorn-nest.com/funds/xinda-touzi,1,0,1,0.05,,Asset ManagementFinanceProfessional Services,,,,,
Xindahui Flexible Circuit Technology,"Tianjin, Guangdong, China",1,1,xindahui-flexible-circuit-technology,https://unicorn-nest.com/funds/xindahui-flexible-circuit-technology,1,0,1,0.05,1,,,1,,,
Xindali Capital,"Shenzhen, Guangdong, China",1,0,xindali-capital,https://unicorn-nest.com/funds/xindali-capital,1,0,1,0.17,,Internet of ThingsFlowers,,,,,
Xindao Soft,"Beijing, Beijing, China",1,0,xindao-soft,https://unicorn-nest.com/funds/xindao-soft,1,0,1,0.08,,SoftwareMobile AppsEducationTextbook,,,,,
Xindian Hero,,1,1,xindian-hero,https://unicorn-nest.com/funds/xindian-hero,1,0,1,,1,E-CommerceSports,,,,,
Xindian Intercom Digital Chain Technology,,2,0,xindian-intercom-digital-chain-technology,https://unicorn-nest.com/funds/xindian-intercom-digital-chain-technology,2,0,1,,,,0.50,,,,
Xinding Guorui,"Fujian, Xiamen, China",2,0,xinding-guorui,https://unicorn-nest.com/funds/xinding-guorui,2,0,2,0.40,,Health CareMedicalAugmented RealityMarketingAdvertisingRehabilitation,,,,,
Xindingsheng Touzi,"Fujian, Xiamen, China",1,0,xindingsheng-touzi,https://unicorn-nest.com/funds/xindingsheng-touzi,1,0,1,0.09,,InternetFinancial ServicesFinance,,,,,
Xinfengjia Trade,"Chongqing Shi, Chongqing, China",1,0,xinfengjia-trade,https://unicorn-nest.com/funds/xinfengjia-trade,1,0,1,0.14,,SoftwareInformation TechnologyFinance,,1,,,
Xinfu Zhiyuan Investment,,1,0,xinfu-zhiyuan-investment,https://unicorn-nest.com/funds/xinfu-zhiyuan-investment,1,0,1,,,,,,,,
Xing Fu Cheng,,1,0,xing-fu-cheng,https://unicorn-nest.com/funds/xing-fu-cheng,1,0,1,,,Event ManagementWeddingCustomer Service,,,,,
Xing Gang Investment,"Guangdong Province, Haizhu District, China",1,0,xing-gang-investment,https://unicorn-nest.com/funds/xing-gang-investment,1,0,1,0.10,,ManufacturingHardware,,1,,,
Xingang Electronics,"Shandong, Weifang, China",1,0,xingang-electronics,https://unicorn-nest.com/funds/xingang-electronics,1,0,1,0.05,,ManufacturingSensor,,,,,
Xinganxian Media Investment,"Hangzhou, Zhejiang, China",3,1,xinganxian-media-investment,https://unicorn-nest.com/funds/xinganxian-media-investment,3,0,2,0.13,1,BiotechnologySoftwareInformation TechnologyArtificial IntelligenceHealth CareEnvironmental Consulting,0.33,1,,,
Xingbang Yiyao,,1,0,xingbang-yiyao,https://unicorn-nest.com/funds/xingbang-yiyao,1,0,1,0.17,,MedicalPharmaceuticalChemical,,,,,
Xingchao Investment Management,"Hangzhou, Zhejiang, China",2,0,xingchao-investment-management,https://unicorn-nest.com/funds/xingchao-investment-management,2,0,1,0.17,,E-CommerceCosmeticsWomen's,0.50,,,,
Xingchuang Investment,"Hunan, Liuyang, China",1,1,xingchuang-investment,https://unicorn-nest.com/funds/xingchuang-investment,1,0,1,0.07,1,RetailInformation ServicesBusiness Development,,,,,
Xingda Shengke Investment,"Shanxi, Xizhang, China",1,0,xingda-shengke-investment,https://unicorn-nest.com/funds/xingda-shengke-investment,1,0,1,0.14,,AnalyticsBig DataDatabase,,,,,
Xingdi Wenhua,"Zhejiang, Ningbo, China",2,0,xingdi-wenhua,https://unicorn-nest.com/funds/xingdi-wenhua,2,0,2,0.20,,SoftwareFinancial ServicesInformation TechnologyGamingCloud ComputingOnline Games,,,,,
Xingding Fund,,1,0,xingding-fund,https://unicorn-nest.com/funds/xingding-fund,1,0,1,,,Information TechnologyHardwareSemiconductor,,,,,
Xingen Ziben,"Tianjin, Guangdong, China",1,0,xingen-ziben,https://unicorn-nest.com/funds/xingen-ziben,1,0,1,0.08,,Financial ServicesInformation ServicesFinance,,,,,
Xingfan Touzi,"Zhejiang, Ningbo, China",1,0,xingfan-touzi,https://unicorn-nest.com/funds/xingfan-touzi,1,0,1,0.20,,LogisticsSupply Chain ManagementCourier Service,,1,,,
Xingfuli,"Beijing, Beijing, China",1,0,xingfuli,https://unicorn-nest.com/funds/xingfuli,1,0,1,0.25,,Real EstateMarketingProfessional ServicesResidential,,,,,
Xinghai Group,"Guangdong, Foshan, China",1,0,xinghai-group,https://unicorn-nest.com/funds/xinghai-group,1,0,1,0.03,,Real EstateInternetMobileInternet of Things,,,,,
Xinghan Capital,,5,0,xinghan-capital,https://unicorn-nest.com/funds/xinghan-capital,5,0,5,,,E-CommerceDigital MarketingMarketingProfessional ServicesDigital EntertainmentMedia and EntertainmentDigital MediaHome DecorInterior DesignHome Renovation,,,,,
Xinghang State-owned Assets Investment,,2,0,xinghang-state-owned-assets-investment,https://unicorn-nest.com/funds/xinghang-state-owned-assets-investment,2,0,2,0.08,,AutomotiveLogisticsE-CommerceTransportationSaaS,,,,,
Xinghang Venture Capital,,3,2,xinghang-venture-capital,https://unicorn-nest.com/funds/xinghang-venture-capital,3,0,3,,2,AutomotiveArtificial IntelligenceManufacturingAutonomous VehiclesSemiconductorRenewable Energy,,,,,
