Rank,Company,Market Cap (USD),Country,Sector,Industry,Unnamed: 6
1,"LVMH Moët Hennessy - Louis Vuitton, SE",$309.59 B,France,French Consumer Discretionary,French Luxury Goods,
2,Hermès International SCA,$225.26 B,France,French Consumer Discretionary,French Luxury Goods,
3,L'Oréal SA,$190.79 B,France,French Consumer Staples,French Household & Personal Products,
4,Schneider Electric SE,$152.14 B,France,French Industrials,French Specialty Industrial Machinery,
5,TotalEnergies SE,$134.26 B,France,French Energy,French Oil & Gas Integrated,
6,Sanofi,$129.11 B,France,French Healthcare,French Drug Manufacturers—General,
7,EssilorLuxottica SA,$116.96 B,France,French Healthcare,French Medical Instruments & Supplies,
8,Christian Dior SE,$106.44 B,France,French Consumer Discretionary,French Luxury Goods,
9,Safran SA,$99.59 B,France,French Industrials,French Aerospace & Defense,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
10,Air Liquide SA,$97.26 B,France,French Basic Materials,French Chemicals,
11,AXA SA,$80.18 B,France,French Financials,French Insurance—Diversified,
12,BNP Paribas SA,$68.54 B,France,French Financials,French Banks—Regional,
13,Vinci SA,$60.07 B,France,French Industrials,French Engineering & Construction,
14,Electricité de France SA,"$54.60 B  (June 1, 2023)",France,French Utilities,French Utilities—Diversified,
15,Dassault Systèmes SE,$47.28 B,France,French Technology,French Software—Application,
16,Compagnie de Saint-Gobain SA,$45.36 B,France,French Industrials,French Building Products & Equipment,
17,Danone SA,$43.34 B,France,French Consumer Staples,French Packaged Foods,
18,Crédit Agricole SA,$40.33 B,France,French Financials,French Banks—Regional,
19,Engie SA,$38.15 B,France,French Utilities,French Utilities—Diversified,
20,Thales SA,$32.14 B,France,French Industrials,French Aerospace & Defense,
21,Kering SA,$30.24 B,France,French Consumer Discretionary,French Luxury Goods,
22,Orange SA,$28.40 B,France,French Communication Services,French Telecom Services,
23,Pernod Ricard SA,$27.94 B,France,French Consumer Staples,French Beverages—Wineries & Distilleries,
24,Capgemini SE,$27.45 B,France,French Technology,French Information Technology Services,
25,Publicis Groupe SA,$26.21 B,France,French Communication Services,French Advertising Agencies,
26,Legrand SA,$26.18 B,France,French Industrials,French Specialty Industrial Machinery,
27,Société Générale SA,$24.28 B,France,French Financials,French Banks—Regional,
28,Compagnie Générale des Etablissements Michelin SCA,$23.72 B,France,French Consumer Discretionary,French Auto Parts,
29,Veolia Environnement SA,$20.91 B,France,French Industrials,French Waste Management,
30,Sartorius Stedim Biotech SA,$20.62 B,France,French Healthcare,French Medical Instruments & Supplies,
31,Bolloré SE,$17.24 B,France,French Communication Services,French Entertainment,
32,Dassault Aviation SA,$16.83 B,France,French Industrials,French Aerospace & Defense,
33,Renault SA,$14.76 B,France,French Consumer Discretionary,French Auto Manufacturers,
34,Amundi SA,$13.78 B,France,French Financials,French Asset Management,
35,Bureau Veritas SA,$13.64 B,France,French Industrials,French Consulting Services,
36,Accor SA,$12.08 B,France,French Consumer Discretionary,French Lodging,
37,BioMérieux SA,$12.05 B,France,French Healthcare,French Diagnostics & Research,
38,Aéroports de Paris SA,$11.67 B,France,French Industrials,French Airports & Air Services,
39,Bouygues SA,$11.65 B,France,French Industrials,French Engineering & Construction,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
40,Unibail-Rodamco-Westfield SE,$11.10 B,France,French Real Estate,French REIT—Retail,
41,Alstom SA,$10.65 B,France,French Industrials,French Specialty Industrial Machinery,
42,Sodexo SA,$10.52 B,France,French Industrials,French Specialty Business Services,
43,Carrefour SA,$9.76 B,France,French Consumer Staples,French Grocery Stores,
44,Ipsen SA,$9.42 B,France,French Healthcare,French Drug Manufacturers—Specialty & Generic,
45,Getlink SE,$8.59 B,France,French Industrials,French Railroads,
46,Chargeurs SA,$8.54 B,France,French Consumer Discretionary,French Textile Manufacturing,
47,Klépierre SA,$8.40 B,France,French Real Estate,French REIT—Retail,
48,Eiffage SA,$8.22 B,France,French Industrials,French Engineering & Construction,
49,Edenred SA,$7.89 B,France,French Financials,French Credit Services,
50,Rexel SA,$7.83 B,France,French Industrials,French Industrial Distribution,
51,Cie du Cambodge,$7.36 B,France,French Industrials,French Railroads,
52,Gecina SA,$7.24 B,France,French Real Estate,French REIT—Office,
53,La Française des Jeux SA,$6.79 B,France,French Consumer Discretionary,French Gambling,
54,Compagnie de l'Odet SA,$6.77 B,France,French Industrials,French Conglomerates,
55,Neoen SA,$6.31 B,France,French Utilities,French Utilities—Renewable,
56,ALD SA,$5.94 B,France,French Industrials,French Rental & Leasing Services,
57,Arkema SA,$5.72 B,France,French Basic Materials,French Specialty Chemicals,
58,Gaztransport & Technigaz SA,$5.55 B,France,French Energy,French Oil & Gas Equipment & Services,
59,SPIE SA,$5.52 B,France,French Industrials,French Engineering & Construction,
60,Somfy SA,"$5.38 B  (Feb. 1, 2023)",France,French Consumer Discretionary,"French Furnishings, Fixtures & Appliances",
61,Teleperformance SE,$5.33 B,France,French Industrials,French Consulting Services,
62,Eurazeo SE,$5.23 B,France,French Financials,French Asset Management,
63,SEB SA,$5.08 B,France,French Consumer Discretionary,"French Furnishings, Fixtures & Appliances",
64,Covivio,"$4.82 B  (June 1, 2023)",France,French Real Estate,French REIT—Diversified,
65,Elis SA,$4.76 B,France,French Industrials,French Specialty Business Services,
66,Technip Energies N.V.,$4.66 B,France,French Energy,French Oil & Gas Equipment & Services,
67,Vallourec SA,$4.62 B,France,French Basic Materials,French Steel,
68,SCOR SE,$4.56 B,France,French Financials,French Insurance—Reinsurance,
69,Nexans SA,$4.38 B,France,French Industrials,French Electrical Equipment & Parts,
(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});,(adsbygoogle = window.adsbygoogle || []).push({});
70,Wendel,$4.34 B,France,French Financials,French Asset Management,
71,BEL SA,"$4.25 B  (Jan. 1, 2022)",France,French Consumer Staples,French Packaged Foods,
72,Colas SA,"$4.17 B  (July 1, 2023)",France,French Industrials,French Infrastructure Operations,
73,Faurecia SE,"$3.94 B  (June 1, 2023)",France,French Consumer Discretionary,French Auto Parts,
74,Tikehau Capital,$3.87 B,France,French Financials,French Asset Management,
75,Rothschild & Co SCA,"$3.73 B  (July 1, 2023)",France,French Financials,French Capital Markets,
76,Sopra Steria Group SA,$3.60 B,France,French Technology,French Information Technology Services,
77,Interparfums SA,$3.28 B,France,French Consumer Staples,French Household & Personal Products,
78,Societe Fonciere Lyonnaise SA,$3.25 B,France,French Real Estate,French REIT—Office,
79,JCDecaux SA,$3.18 B,France,French Communication Services,French Advertising Agencies,
80,Soitec SA,$3.17 B,France,French Technology,French Semiconductor Equipment & Materials,
81,Covivio Hotels Societe anonyme,$3.01 B,France,French Real Estate,French REIT—Hotel & Motel,
82,Lagardere SA,$2.94 B,France,French Consumer Discretionary,French Travel Services,
83,Rémy Cointreau SA,$2.92 B,France,French Consumer Staples,French Beverages—Wineries & Distilleries,
84,Alten SA,$2.88 B,France,French Technology,French Information Technology Services,
85,Verallia SA,$2.74 B,France,French Consumer Discretionary,French Packaging & Containers,
86,Société BIC SA,$2.68 B,France,French Consumer Staples,French Household & Personal Products,
87,Virbac SA,$2.68 B,France,French Healthcare,French Drug Manufacturers—General,
88,Rubis,$2.68 B,France,French Utilities,French Utilities—Regulated Gas,
89,Société Industrielle et Financière de l'Artois SA,$2.67 B,France,French Technology,French Computer Hardware,
90,Europcar Mobility Group SA,"$2.66 B  (July 1, 2022)",France,French Industrials,French Rental & Leasing Services,
91,Valeo SA,$2.65 B,France,French Consumer Discretionary,French Auto Parts,
92,Vivendi SA,$2.64 B,France,French Communication Services,French Broadcasting,
93,ID Logistics Group SA,$2.62 B,France,French Industrials,French Specialty Business Services,
