Investor Name,Location,Total Investments,Lead Investments,company_name_hyphens,URL,Type,Status,Total investments,Average round size,Portfolio companies,Rounds per year,Lead investments,Follow on index,Exits,Stages of investment,Areas of investment
360 Capital Partners,,0,,360-capital-partners,https://unicorn-nest.com/funds/360-capital-partners,Venture Capital,Active,217,0,123,8.04,36,0.43,35,SeedEarly Stage Venture,LogisticsE-CommerceSoftwareRetailInformation TechnologyArtificial IntelligenceSaaSRoboticsEnergyShopping
40jemz Ventures,,0,,40jemz-ventures,https://unicorn-nest.com/funds/40jemz-ventures,Venture Capital,Active,5,0,5,2.50,,,,,SoftwareArtificial IntelligenceMarketingWeb DesignComputerBusiness DevelopmentSustainabilityWeb DevelopmentPrimary EducationFreelance
42cap,,0,,42cap,https://unicorn-nest.com/funds/42cap,Venture Capital,,80,0,41,10.00,8,0.46,1,SeedEarly Stage Venture,LogisticsSoftwareAnalyticsInformation TechnologyArtificial IntelligenceMachine LearningSaaSBig DataData IntegrationComputer
4ventures,,0,,4ventures,https://unicorn-nest.com/funds/4ventures,,,1,0,1,,,,,,Internet
A Plus Finance,,0,,a-plus-finance,https://unicorn-nest.com/funds/a-plus-finance,,,56,0,40,2.24,9,0.29,12,Early Stage VentureLate Stage Venture,E-CommerceInternetSoftwareInformation TechnologySalesCloud ComputingHardwareAdvertisingTelecommunicationsBrand Marketing
A/Impact,,0,,aimpact,https://unicorn-nest.com/funds/aimpact,,,4,0,4,,1,,,Early Stage Venture,BiotechnologyArtificial IntelligenceFood and BeverageHealth CareMedicalNutritionProduct Research
A/O Proptech,,0,,ao-proptech,https://unicorn-nest.com/funds/ao-proptech,,,,0,,,,,,,
Aaf Management Ltd.,,0,,aaf-management-ltd,https://unicorn-nest.com/funds/aaf-management-ltd,,,100,0,72,16.67,1,0.28,11,SeedEarly Stage Venture,InternetSoftwareFinancial ServicesFinTechAnalyticsInformation TechnologyArtificial IntelligenceMachine LearningHealth CareSaaS
Abac Nest,,0,,abac-nest,https://unicorn-nest.com/funds/abac-nest,,,21,0,13,3.00,,0.38,,Early Stage Venture,E-CommerceSoftwareFinancial ServicesFinTechRetailInformation TechnologyFinanceFood and BeverageMarketplaceFashion
Abenex,,0,,abenex,https://unicorn-nest.com/funds/abenex,,,,0,,,,,,,
Abu Dhabu Investment Authority,,0,,abu-dhabu-investment-authority,https://unicorn-nest.com/funds/abu-dhabu-investment-authority,,,,0,,,,,,,
Aconterra,,0,,aconterra,https://unicorn-nest.com/funds/aconterra,Venture Capital,Active,8,0,6,1.60,3,0.25,,SeedEarly Stage Venture,Real EstateSoftwareAnalyticsInformation TechnologyArtificial IntelligenceMachine LearningSaaSConsumer ElectronicsLocation Based ServicesSmart Cities
Adb Ventures,,0,,adb-ventures,https://unicorn-nest.com/funds/adb-ventures,,,47,0,36,11.75,6,0.23,,Early Stage Venture,AutomotiveLogisticsBiotechnologySoftwareFinTechArtificial IntelligenceMachine LearningManufacturingAutonomous VehiclesElectric Vehicle
Aglae Ventures,,0,,aglae-ventures,https://unicorn-nest.com/funds/aglae-ventures,Venture Capital,Active,92,0,59,13.14,12,0.35,1,,E-CommerceInternetSoftwareInformation TechnologyArtificial IntelligenceHealth CareSaaSAppsMobile AppsMarketplace
Akkadian Ventures,,0,,akkadian-ventures,https://unicorn-nest.com/funds/akkadian-ventures,,,44,0,40,3.14,15,0.09,13,Secondary Market,InternetSoftwareFinTechAnalyticsInformation TechnologyMobileSaaSAppsMobile AppsEnterprise Software
Alantra,,0,,alantra,https://unicorn-nest.com/funds/alantra,,,27,0,26,0.69,8,0.04,10,Early Stage Venture,Information TechnologyInformation ServicesFitnessHealth CareWellnessManufacturingMedical DeviceLife SciencePharmaceuticalEnergy
Ali,,0,,ali,https://unicorn-nest.com/funds/ali,,,2,0,2,0.14,,,,,SoftwareFitnessHealth CareWellnessManufacturingSemiconductorConsumer ElectronicsElectronics
Alven,,0,,alven,https://unicorn-nest.com/funds/alven,,,,0,,,,,,,
Amavi,,0,,amavi,https://unicorn-nest.com/funds/amavi,,,,0,,,,,,,
Anaxago,,0,,anaxago,https://unicorn-nest.com/funds/anaxago,,,51,0,36,4.25,1,0.27,2,,BiotechnologyReal EstateSoftwareRetailFood and BeverageHealth CareSaaSRestaurantsMedical DeviceTherapeutics
Andera Infra,,0,,andera-infra,https://unicorn-nest.com/funds/andera-infra,,,,0,,,,,,,
Angelor,,0,,angelor,https://unicorn-nest.com/funds/angelor,,Active,11,0,10,0.65,1,0.09,,Seed,Real EstateInformation TechnologyInformation ServicesMachine LearningMedical DeviceMarketplaceComputerBiopharmaWaste ManagementPackaging Services
Angelsquare,,0,,angelsquare,https://unicorn-nest.com/funds/angelsquare,,Active,186,0,166,23.25,54,0.06,8,Seed,E-CommerceInternetSoftwareRetailInformation TechnologyArtificial IntelligenceHealth CareSaaSMobile AppsMarketplace
